"loc","month","measure","date.start","date.end","v.mean","v.median","iqr.lwr","iqr.upr","ci95.lwr","ci95.upr","month2"
"KwaZulu-Natal","2021/4",52.5169410187628,2020-03-15,2021-04-18,50.3152512415935,48.8687807849639,40.2159698306735,58.9905296740839,28.056585119431,80.5490173441628,"2021 Apr"
"Limpopo","2021/5",46.2437059415911,2020-03-15,2021-05-16,31.4007201984191,29.2317058711136,22.5698748707033,38.0168983307045,15.2221809286572,59.2456064292034,"2021 May"
"Mpumalanga","2020/10",5.00427619781289,2020-03-15,2020-10-18,18.7570899209907,15.4465842500919,10.9849798637948,23.8779922871036,6.99196646448942,45.6125319984186,"2020 Oct"
"Mpumalanga","2020/12",7.03444090039963,2020-03-15,2020-12-13,20.49632302653,17.5343356748906,12.6492009969557,25.9199145643141,8.15594594812266,46.8615231471281,"2020 Dec"
"Mpumalanga","2021/2",20.6851678540278,2020-03-15,2021-02-14,32.8365269503656,30.616667389951,23.5806486128806,39.7722742630894,16.0407220015311,61.4097347539866,"2021 Feb"
"Mpumalanga","2021/4",24.4991967539096,2020-03-15,2021-04-18,35.5673796521746,33.4692816533308,26.2456012006717,42.6736420736481,18.1048687319243,64.3512979762755,"2021 Apr"
"Mpumalanga","2021/5",47.1357538947355,2020-03-15,2021-05-16,37.0634694408113,35.0076831540592,27.7183571180202,44.2866567101852,19.2204280573323,65.9300930278841,"2021 May"
"Mpumalanga","2021/5",24.5965624887259,2020-03-15,2021-05-16,37.0634694408113,35.0076831540592,27.7183571180202,44.2866567101852,19.2204280573323,65.9300930278841,"2021 May"
"Mpumalanga","2021/7",37.5307132867726,2020-03-15,2021-07-18,52.7648176540085,51.0057038563187,42.1723210000982,61.4574766948991,30.0100735380478,85.820373840514,"2021 Jul"
"Mpumalanga","2021/9",58.7024975966283,2020-03-15,2021-09-12,63.703766515389,61.5461526490313,51.7286809656395,73.189952044953,37.6272153436132,102.989817157881,"2021 Sep"
"Northern Cape","2020/12",22.9325360100614,2020-03-15,2020-12-13,37.8073234060467,35.8869111411158,27.9843283125136,45.843157453884,18.9842983343982,65.7699096001612,"2020 Dec"
"Northern Cape","2021/1",31.577625762861,2020-03-15,2021-01-17,45.8310804927646,44.107246618428,35.6761887549756,54.4307882390387,24.8185063446435,75.2083412908612,"2021 Jan"
"North West","2020/10",21.3221406086044,2020-03-15,2020-10-18,24.245188623535,21.5576305496512,16.0415255546633,30.2285806396836,10.2740341279275,50.8209812032802,"2020 Oct"
"North West","2020/11",10.0734522560335,2020-03-15,2020-11-15,25.2269662475701,22.676744064135,17.0024683987628,31.2988409161101,10.969559680662,51.5961915816299,"2020 Nov"
"North West","2020/12",27.2822665267576,2020-03-15,2020-12-13,26.1003214050964,23.634224357702,17.8969432879064,32.1423908991204,11.7099373140149,52.3482014865645,"2020 Dec"
"North West","2020/12",21.9937040923399,2020-03-15,2020-12-13,26.1003214050964,23.634224357702,17.8969432879064,32.1423908991204,11.7099373140149,52.3482014865645,"2020 Dec"
"North West","2021/1",34.0818467995802,2020-03-15,2021-01-17,33.1280551147351,30.9986469465331,24.455932959304,39.742775522623,16.7493732836155,60.3346783155838,"2021 Jan"
"North West","2021/2",35.1731374606505,2020-03-15,2021-02-14,35.1904938326967,33.0880972767169,26.2647197142572,42.1047414022233,18.075735564721,63.101683624512,"2021 Feb"
"North West","2021/2",40.0419727177334,2020-03-15,2021-02-14,35.1904938326967,33.0880972767169,26.2647197142572,42.1047414022233,18.075735564721,63.101683624512,"2021 Feb"
"North West","2021/3",40.0419727177334,2020-03-15,2021-03-14,36.2813190765098,34.2311459736764,27.3255369993761,43.2120293398047,18.9777769600596,64.2602055884887,"2021 Mar"
"North West","2021/4",39.8740818467995,2020-03-15,2021-04-18,38.5019298544248,36.5207878335605,29.5073317594789,45.5437487384324,20.6759458911304,66.7224929950613,"2021 Apr"
"North West","2021/4",42.0566631689401,2020-03-15,2021-04-18,38.5019298544248,36.5207878335605,29.5073317594789,45.5437487384324,20.6759458911304,66.7224929950613,"2021 Apr"
"North West","2021/5",48.604407135362,2020-03-15,2021-05-16,42.0576821682905,40.2368281700537,32.8653945027347,49.3505696509577,23.2806848128527,70.9905935344983,"2021 May"
"North West","2021/5",48.520461699895,2020-03-15,2021-05-16,42.0576821682905,40.2368281700537,32.8653945027347,49.3505696509577,23.2806848128527,70.9905935344983,"2021 May"
"North West","2021/7",55.6558237145855,2020-03-15,2021-07-18,66.5959369994513,65.008833883078,55.3502242310349,76.0043217635219,40.9954826476996,101.543494722591,"2021 Jul"
"North West","2021/9",69.5068205666316,2020-03-15,2021-09-12,78.6282296112649,76.6045725772951,65.7245786042698,89.3852593581844,49.387702154883,119.09767048378,"2021 Sep"
"Western Cape","2020/12",31.1580314218828,2020-03-15,2020-12-13,43.7151099565193,42.2650293066833,35.7691841603987,50.0878988490912,26.2820505635223,69.2899103137785,"2020 Dec"
"Western Cape","2021/1",61.9546225040118,2020-03-15,2021-01-17,60.8381025134203,59.2406247294618,50.821178220474,69.0790597841139,37.9619258206073,92.9273576544932,"2021 Jan"
"Western Cape","2021/2",41.2835817399001,2020-03-15,2021-02-14,62.8509098416111,61.2034760418655,52.625821850963,71.2792151005271,39.461046508663,95.7607312592214,"2021 Feb"
"Western Cape","2021/2",42.0376533820608,2020-03-15,2021-02-14,62.8509098416111,61.2034760418655,52.625821850963,71.2792151005271,39.461046508663,95.7607312592214,"2021 Feb"
"Western Cape","2021/3",46.1932802216834,2020-03-15,2021-03-14,63.8484826235891,62.1984978991467,53.6004690336649,72.2692783667921,40.4063091029528,96.8629314284339,"2021 Mar"
"Western Cape","2021/4",45.0560818193835,2020-03-15,2021-04-18,64.919905503674,63.2289426219734,54.6910071949932,73.3082509835922,41.5023966905206,97.9869508198805,"2021 Apr"
"Western Cape","2021/5",37.7136221174714,2020-03-15,2021-05-16,66.1475836368239,64.476008749585,55.9037026558342,74.5252525112052,42.7159229573162,99.1782500321981,"2021 May"
